Service Provider,Technology,Test_type,Data Speed(Mbps),Signal_strength,LSA
JIO,4G,Upload,7.3,-63,Andhra Pradesh
JIO,4G,Upload,7.31,-65,Andhra Pradesh
JIO,4G,Upload,6.91,-65,Andhra Pradesh
VODAFONE,4G,Download,7.73,-90,Maharashtra
VODAFONE,4G,Download,6.92,-90,Maharashtra
VODAFONE,4G,Download,7.69,-87,Maharashtra
VODAFONE,4G,Download,13.33,-88,Maharashtra
VODAFONE,4G,Download,8.58,-80,Maharashtra
VODAFONE,4G,Download,26.9,-84,Maharashtra
VODAFONE,4G,Download,17.6,-89,Maharashtra
VODAFONE,4G,Download,15.58,-85,Maharashtra
VODAFONE,4G,Download,18.2,-98,Maharashtra
VODAFONE,4G,Download,12.35,-104,Maharashtra
VODAFONE,4G,Download,19.51,-101,Maharashtra
VODAFONE,4G,Download,40.12,-111,Maharashtra
VODAFONE,4G,Download,11.24,-102,Maharashtra
VODAFONE,4G,Download,39.84,-103,Maharashtra
VODAFONE,4G,Download,40.38,-101,Maharashtra
VODAFONE,4G,Download,38.45,-76,Maharashtra
VODAFONE,4G,Download,39.39,-70,Maharashtra
VODAFONE,4G,Download,41.88,-91,Maharashtra
VODAFONE,4G,Download,38.4,-92,Maharashtra
VODAFONE,4G,Download,40.84,-91,Maharashtra
VODAFONE,4G,Download,16.37,-95,Maharashtra
VODAFONE,4G,Download,39.34,-93,Maharashtra
VODAFONE,4G,Download,39.28,-85,Maharashtra
VODAFONE,4G,Download,41.5,-89,Maharashtra
VODAFONE,4G,Download,39.06,-88,Maharashtra
VODAFONE,4G,Download,41.64,-84,Maharashtra
VODAFONE,4G,Download,30.7,-90,Maharashtra
VODAFONE,4G,Download,39.83,-89,Maharashtra
VODAFONE,4G,Download,39.3,-94,Maharashtra
VODAFONE,4G,Download,23.29,-79,Maharashtra
VODAFONE,4G,Download,24.31,-81,Maharashtra
VODAFONE,4G,Download,23.7,-83,Maharashtra
VODAFONE,4G,Download,25.92,-80,Maharashtra
VODAFONE,4G,Download,23.08,-83,Maharashtra
VODAFONE,4G,Download,25.23,-84,Maharashtra
VODAFONE,4G,Download,20.57,-79,Maharashtra
VODAFONE,4G,Download,25.13,-88,Maharashtra
VODAFONE,4G,Download,31.54,-82,Maharashtra
VODAFONE,4G,Download,31.99,-83,Maharashtra
VODAFONE,4G,Download,38.6,-70,Maharashtra
VODAFONE,4G,Download,30.82,-83,Maharashtra
VODAFONE,4G,Download,36.13,-72,Maharashtra
VODAFONE,4G,Download,26.74,-77,Maharashtra
VODAFONE,4G,Download,47.72,-90,Maharashtra
VODAFONE,4G,Download,53.32,-80,Maharashtra
VODAFONE,4G,Download,39.88,-85,Maharashtra
VODAFONE,4G,Download,39.89,-95,Maharashtra
VODAFONE,4G,Download,26.87,-80,Maharashtra
VODAFONE,4G,Download,10.03,-84,Maharashtra
VODAFONE,4G,Download,9.18,-80,Maharashtra
VODAFONE,4G,Download,2.48,-95,Maharashtra
VODAFONE,4G,Download,7.59,-96,Maharashtra
VODAFONE,4G,Download,14.62,-99,Maharashtra
VODAFONE,4G,Download,26.36,-110,Maharashtra
VODAFONE,4G,Download,26.36,-88,Maharashtra
VODAFONE,4G,Download,24.34,-78,Maharashtra
VODAFONE,4G,Download,16.79,-86,Maharashtra
VODAFONE,4G,Download,26.66,-87,Maharashtra
VODAFONE,4G,Download,20.32,-90,Maharashtra
VODAFONE,4G,Download,31.67,-81,Maharashtra
VODAFONE,4G,Download,29.55,-81,Maharashtra
VODAFONE,4G,Download,11.67,-75,Maharashtra
VODAFONE,4G,Download,42.1,-90,Maharashtra
VODAFONE,4G,Download,40.71,-96,Maharashtra
VODAFONE,4G,Download,40.55,-86,Maharashtra
VODAFONE,4G,Download,53.2,-100,Maharashtra
VODAFONE,4G,Download,51.62,-100,Maharashtra
VODAFONE,4G,Download,38.08,-99,Maharashtra
VODAFONE,4G,Download,34.44,-94,Maharashtra
VODAFONE,4G,Download,41.16,-101,Maharashtra
VODAFONE,4G,Download,45.05,-92,Maharashtra
VODAFONE,4G,Download,11.64,-81,Maharashtra
VODAFONE,4G,Download,18.81,-89,Maharashtra
VODAFONE,4G,Download,30.47,-87,Maharashtra
VODAFONE,4G,Download,38.95,-80,Maharashtra
VODAFONE,4G,Download,20.16,-79,Maharashtra
VODAFONE,4G,Download,31.78,-78,Maharashtra
VODAFONE,4G,Download,54.64,-86,Maharashtra
VODAFONE,4G,Download,60.53,-81,Maharashtra
VODAFONE,4G,Download,41.77,-82,Maharashtra
VODAFONE,4G,Download,12.2,-76,Maharashtra
VODAFONE,4G,Download,11.16,-75,Maharashtra
VODAFONE,4G,Download,17.24,-96,Maharashtra
VODAFONE,4G,Download,22.91,-85,Maharashtra
VODAFONE,4G,Download,16.84,-78,Maharashtra
VODAFONE,4G,Download,9.6,-79,Maharashtra
VODAFONE,4G,Download,25.19,-71,Maharashtra
VODAFONE,4G,Download,24.38,-76,Maharashtra
VODAFONE,4G,Download,0.55,-88,Maharashtra
VODAFONE,4G,Download,1.06,-86,Maharashtra
VODAFONE,4G,Download,40.92,-100,Maharashtra
VODAFONE,4G,Download,39.63,-85,Maharashtra
VODAFONE,4G,Upload,9.34,-90,Maharashtra
VODAFONE,4G,Upload,5.98,-90,Maharashtra
VODAFONE,4G,Upload,8.69,-87,Maharashtra
VODAFONE,4G,Upload,10.27,-88,Maharashtra
VODAFONE,4G,Upload,6.41,-80,Maharashtra
VODAFONE,4G,Upload,5.92,-84,Maharashtra
VODAFONE,4G,Upload,6.65,-89,Maharashtra
VODAFONE,4G,Upload,6.8,-85,Maharashtra
VODAFONE,4G,Upload,4.0,-98,Maharashtra
VODAFONE,4G,Upload,3.97,-104,Maharashtra
VODAFONE,4G,Upload,5.06,-101,Maharashtra
VODAFONE,4G,Upload,2.26,-111,Maharashtra
VODAFONE,4G,Upload,0.64,-102,Maharashtra
VODAFONE,4G,Upload,4.01,-103,Maharashtra
VODAFONE,4G,Upload,3.92,-101,Maharashtra
VODAFONE,4G,Upload,8.16,-76,Maharashtra
VODAFONE,4G,Upload,7.73,-70,Maharashtra
VODAFONE,4G,Upload,8.23,-91,Maharashtra
VODAFONE,4G,Upload,7.01,-92,Maharashtra
VODAFONE,4G,Upload,5.64,-91,Maharashtra
VODAFONE,4G,Upload,0.04,-95,Maharashtra
VODAFONE,4G,Upload,1.29,-93,Maharashtra
VODAFONE,4G,Upload,8.18,-85,Maharashtra
VODAFONE,4G,Upload,7.15,-89,Maharashtra
VODAFONE,4G,Upload,6.14,-88,Maharashtra
VODAFONE,4G,Upload,3.62,-84,Maharashtra
VODAFONE,4G,Upload,3.76,-90,Maharashtra
VODAFONE,4G,Upload,7.31,-89,Maharashtra
VODAFONE,4G,Upload,7.98,-94,Maharashtra
VODAFONE,4G,Upload,1.51,-79,Maharashtra
VODAFONE,4G,Upload,7.74,-81,Maharashtra
VODAFONE,4G,Upload,8.52,-83,Maharashtra
VODAFONE,4G,Upload,8.82,-80,Maharashtra
VODAFONE,4G,Upload,7.48,-83,Maharashtra
VODAFONE,4G,Upload,7.32,-84,Maharashtra
VODAFONE,4G,Upload,7.49,-79,Maharashtra
VODAFONE,4G,Upload,9.31,-88,Maharashtra
VODAFONE,4G,Upload,7.87,-82,Maharashtra
VODAFONE,4G,Upload,8.76,-83,Maharashtra
VODAFONE,4G,Upload,8.9,-70,Maharashtra
VODAFONE,4G,Upload,7.64,-83,Maharashtra
VODAFONE,4G,Upload,7.25,-72,Maharashtra
VODAFONE,4G,Upload,7.9,-77,Maharashtra
VODAFONE,4G,Upload,7.95,-90,Maharashtra
VODAFONE,4G,Upload,8.88,-80,Maharashtra
VODAFONE,4G,Upload,9.53,-85,Maharashtra
VODAFONE,4G,Upload,7.55,-95,Maharashtra
VODAFONE,4G,Upload,9.63,-80,Maharashtra
VODAFONE,4G,Upload,9.27,-84,Maharashtra
VODAFONE,4G,Upload,8.46,-80,Maharashtra
VODAFONE,4G,Upload,7.43,-95,Maharashtra
VODAFONE,4G,Upload,7.94,-96,Maharashtra
VODAFONE,4G,Upload,6.52,-99,Maharashtra
VODAFONE,4G,Upload,2.3,-110,Maharashtra
VODAFONE,4G,Upload,8.2,-88,Maharashtra
VODAFONE,4G,Upload,9.84,-78,Maharashtra
VODAFONE,4G,Upload,7.71,-86,Maharashtra
VODAFONE,4G,Upload,7.97,-87,Maharashtra
VODAFONE,4G,Upload,9.63,-90,Maharashtra
VODAFONE,4G,Upload,9.02,-81,Maharashtra
VODAFONE,4G,Upload,7.88,-81,Maharashtra
VODAFONE,4G,Upload,8.15,-75,Maharashtra
VODAFONE,4G,Upload,3.36,-90,Maharashtra
VODAFONE,4G,Upload,2.31,-96,Maharashtra
VODAFONE,4G,Upload,1.97,-86,Maharashtra
VODAFONE,4G,Upload,5.31,-100,Maharashtra
VODAFONE,4G,Upload,2.59,-100,Maharashtra
VODAFONE,4G,Upload,2.68,-99,Maharashtra
VODAFONE,4G,Upload,1.42,-94,Maharashtra
VODAFONE,4G,Upload,2.45,-101,Maharashtra
VODAFONE,4G,Upload,2.84,-92,Maharashtra
VODAFONE,4G,Upload,7.59,-81,Maharashtra
VODAFONE,4G,Upload,7.86,-89,Maharashtra
VODAFONE,4G,Upload,7.76,-87,Maharashtra
VODAFONE,4G,Upload,8.45,-80,Maharashtra
VODAFONE,4G,Upload,9.32,-79,Maharashtra
VODAFONE,4G,Upload,8.8,-78,Maharashtra
VODAFONE,4G,Upload,10.24,-86,Maharashtra
VODAFONE,4G,Upload,8.73,-81,Maharashtra
VODAFONE,4G,Upload,9.72,-82,Maharashtra
VODAFONE,4G,Upload,4.06,-76,Maharashtra
VODAFONE,4G,Upload,9.88,-75,Maharashtra
VODAFONE,4G,Upload,3.69,-96,Maharashtra
VODAFONE,4G,Upload,4.91,-85,Maharashtra
VODAFONE,4G,Upload,10.43,-78,Maharashtra
VODAFONE,4G,Upload,10.64,-79,Maharashtra
VODAFONE,4G,Upload,11.66,-71,Maharashtra
VODAFONE,4G,Upload,9.92,-76,Maharashtra
VODAFONE,4G,Upload,6.01,-88,Maharashtra
VODAFONE,4G,Upload,6.03,-86,Maharashtra
VODAFONE,4G,Upload,2.55,-100,Maharashtra
VODAFONE,4G,Upload,5.68,-85,Maharashtra
JIO,4G,Download,3.52,-69,Andhra Pradesh
JIO,4G,Download,7.62,-88,Andhra Pradesh
JIO,4G,Download,0.43,-111,Andhra Pradesh
JIO,4G,Download,2.05,-111,Andhra Pradesh
JIO,4G,Download,0.62,-102,Andhra Pradesh
AIRTEL,3G,Download,0.59,-105,Andhra Pradesh
AIRTEL,3G,Download,0.2,-101,Andhra Pradesh
JIO,4G,Upload,4.93,-69,Andhra Pradesh
JIO,4G,Upload,2.32,-87,Andhra Pradesh
JIO,4G,Upload,0.15,-105,Andhra Pradesh
JIO,4G,Upload,0.09,-111,Andhra Pradesh
JIO,4G,Upload,0.07,-105,Andhra Pradesh
AIRTEL,3G,Upload,0.4,-105,Andhra Pradesh
AIRTEL,3G,Upload,0.37,-101,Andhra Pradesh
JIO,4G,Download,33.04,-73,Haryana
JIO,4G,Download,27.28,-73,Haryana
JIO,4G,Download,22.71,-73,Haryana
JIO,4G,Upload,3.68,-73,Haryana
JIO,4G,Upload,4.27,-73,Haryana
JIO,4G,Upload,4.96,-73,Haryana
JIO,4G,Upload,9.21,-82,Punjab
JIO,4G,Download,39.75,-77,UP East
JIO,4G,Download,38.58,-77,UP East
JIO,4G,Download,36.72,-77,UP East
JIO,4G,Download,40.89,-77,UP East
JIO,4G,Upload,10.87,-77,UP East
JIO,4G,Upload,11.38,-77,UP East
JIO,4G,Upload,12.24,-77,UP East
JIO,4G,Upload,11.87,-77,UP East
JIO,4G,Download,13.91,-59,Madhya Pradesh
JIO,4G,Upload,4.43,-59,Madhya Pradesh
JIO,4G,Download,0.16,-100,Orissa
JIO,4G,Download,0.27,-95,Orissa
JIO,4G,Download,2.64,-99,Orissa
JIO,4G,Download,0.26,-97,Orissa
JIO,4G,Download,0.39,-93,Orissa
JIO,4G,Download,0.37,-104,Orissa
JIO,4G,Download,2.18,-103,Orissa
JIO,4G,Download,0.21,-100,Orissa
JIO,4G,Download,1.25,-103,Orissa
JIO,4G,Download,2.59,-101,Orissa
JIO,4G,Upload,1.84,-100,Orissa
JIO,4G,Upload,0.46,-95,Orissa
JIO,4G,Upload,2.82,-101,Orissa
JIO,4G,Upload,0.79,-103,Orissa
JIO,4G,Upload,0.26,-93,Orissa
JIO,4G,Upload,0.92,-104,Orissa
JIO,4G,Upload,1.3,-103,Orissa
JIO,4G,Upload,0.3,-105,Orissa
JIO,4G,Upload,0.68,-106,Orissa
JIO,4G,Upload,0.73,-105,Orissa
JIO,4G,Download,30.53,-65,West Bengal
JIO,4G,Upload,6.61,-65,West Bengal
JIO,4G,Download,68.21,-73,Rajasthan
JIO,4G,Upload,8.77,-73,Rajasthan
JIO,4G,Download,48.56,na,Andhra Pradesh
JIO,4G,Download,45.16,na,Andhra Pradesh
JIO,4G,Download,49.65,na,Andhra Pradesh
JIO,4G,Upload,8.59,na,Andhra Pradesh
JIO,4G,Upload,9.69,na,Andhra Pradesh
JIO,4G,Upload,9.29,na,Andhra Pradesh
JIO,4G,Download,21.96,-60,Madhya Pradesh
JIO,4G,Download,37.08,-60,Madhya Pradesh
JIO,4G,Upload,5.9,-60,Madhya Pradesh
JIO,4G,Upload,6.29,-60,Madhya Pradesh
JIO,4G,Download,13.52,-103,Gujarat
JIO,4G,Upload,14.53,-102,Gujarat
JIO,4G,Download,17.45,-107,Rajasthan
JIO,4G,Download,12.58,-111,Rajasthan
JIO,4G,Download,6.63,-108,Rajasthan
JIO,4G,Download,0.65,-114,Rajasthan
JIO,4G,Upload,1.3,-105,Rajasthan
JIO,4G,Upload,0.54,-109,Rajasthan
JIO,4G,Upload,1.22,-104,Rajasthan
JIO,4G,Upload,0.14,-114,Rajasthan
AIRTEL,4G,Download,50.24,-84,Delhi
AIRTEL,4G,Upload,3.39,-85,Delhi
JIO,4G,Download,75.79,-67,Madhya Pradesh
JIO,4G,Upload,4.87,-67,Madhya Pradesh
JIO,4G,Download,4.86,-112,Kerala
JIO,4G,Download,0.51,-115,Kerala
JIO,4G,Upload,0.67,-111,Kerala
JIO,4G,Upload,0.12,-114,Kerala
AIRTEL,4G,Download,3.99,-86,Jammu & Kashmir
AIRTEL,4G,Download,61.09,-86,Jammu & Kashmir
AIRTEL,4G,Download,68.42,-86,Jammu & Kashmir
AIRTEL,4G,Download,19.74,-78,Jammu & Kashmir
AIRTEL,4G,Download,45.05,-79,Jammu & Kashmir
AIRTEL,4G,Download,57.58,-79,Jammu & Kashmir
AIRTEL,3G,Download,5.11,-83,Jammu & Kashmir
AIRTEL,4G,Download,35.98,-94,Jammu & Kashmir
AIRTEL,4G,Download,40.58,-92,Jammu & Kashmir
AIRTEL,4G,Download,1.93,-107,Jammu & Kashmir
AIRTEL,4G,Download,3.34,-97,Jammu & Kashmir
AIRTEL,4G,Download,15.9,-71,Jammu & Kashmir
AIRTEL,4G,Download,4.55,-101,Jammu & Kashmir
AIRTEL,4G,Download,4.14,-104,Jammu & Kashmir
AIRTEL,4G,Download,5.34,-101,Jammu & Kashmir
AIRTEL,3G,Download,3.43,-93,Jammu & Kashmir
AIRTEL,4G,Download,2.53,-87,Jammu & Kashmir
AIRTEL,3G,Download,4.39,-91,Jammu & Kashmir
AIRTEL,4G,Download,33.11,-75,Jammu & Kashmir
AIRTEL,4G,Upload,0.42,-85,Jammu & Kashmir
AIRTEL,4G,Upload,0.68,-87,Jammu & Kashmir
AIRTEL,4G,Upload,4.98,-86,Jammu & Kashmir
AIRTEL,4G,Upload,5.33,-76,Jammu & Kashmir
AIRTEL,4G,Upload,5.76,-79,Jammu & Kashmir
AIRTEL,4G,Upload,5.43,-79,Jammu & Kashmir
AIRTEL,3G,Upload,4.15,-83,Jammu & Kashmir
AIRTEL,4G,Upload,4.17,-92,Jammu & Kashmir
AIRTEL,4G,Upload,2.81,-90,Jammu & Kashmir
AIRTEL,4G,Upload,0.25,-107,Jammu & Kashmir
AIRTEL,4G,Upload,1.93,-109,Jammu & Kashmir
AIRTEL,4G,Upload,8.38,-67,Jammu & Kashmir
AIRTEL,4G,Upload,0.67,-96,Jammu & Kashmir
AIRTEL,4G,Upload,2.37,-108,Jammu & Kashmir
AIRTEL,4G,Upload,2.67,-101,Jammu & Kashmir
AIRTEL,3G,Upload,0.29,-97,Jammu & Kashmir
AIRTEL,4G,Upload,4.21,-87,Jammu & Kashmir
AIRTEL,3G,Upload,1.22,-93,Jammu & Kashmir
AIRTEL,4G,Upload,9.21,-76,Jammu & Kashmir
JIO,4G,Download,93.86,-67,Himachal Pradesh
JIO,4G,Upload,8.12,-67,Himachal Pradesh
JIO,4G,Download,4.55,-85,Delhi
JIO,4G,Download,16.86,-79,Delhi
JIO,4G,Download,9.04,-88,Delhi
JIO,4G,Download,1.33,-90,Delhi
JIO,4G,Upload,3.21,-85,Delhi
JIO,4G,Upload,6.29,-71,Delhi
JIO,4G,Upload,5.48,-94,Delhi
JIO,4G,Upload,4.28,-90,Delhi
VODAFONE,4G,Download,8.23,-90,Gujarat
VODAFONE,4G,Download,12.22,-90,Gujarat
VODAFONE,4G,Upload,10.23,-90,Gujarat
VODAFONE,4G,Upload,10.3,-90,Gujarat
JIO,4G,Download,2.22,-77,Delhi
JIO,4G,Upload,5.55,-76,Delhi
JIO,4G,Download,0.25,-106,Tamil Nadu
JIO,4G,Upload,0.76,-106,Tamil Nadu
JIO,4G,Download,92.85,-62,Gujarat
JIO,4G,Upload,8.07,-62,Gujarat
JIO,4G,Download,27.36,-97,Kerala
JIO,4G,Download,30.94,-92,Kerala
JIO,4G,Upload,3.6,-95,Kerala
JIO,4G,Upload,2.46,-93,Kerala
JIO,4G,Download,44.36,-71,Orissa
JIO,4G,Download,47.11,-71,Orissa
JIO,4G,Download,33.26,-70,Orissa
JIO,4G,Download,38.53,-70,Orissa
JIO,4G,Download,44.78,-70,Orissa
JIO,4G,Download,2.62,-95,UP East
JIO,4G,Upload,7.17,-94,UP East
JIO,4G,Download,70.49,-81,UP West
JIO,4G,Download,71.24,-81,UP West
JIO,4G,Upload,8.96,-81,UP West
JIO,4G,Upload,9.07,-81,UP West
JIO,4G,Download,0.54,-97,Bihar
JIO,4G,Download,0.48,-101,Bihar
JIO,4G,Download,0.38,-109,Bihar
JIO,4G,Download,0.99,-95,Bihar
JIO,4G,Upload,0.27,-97,Bihar
JIO,4G,Upload,0.48,-97,Bihar
JIO,4G,Upload,1.74,-103,Bihar
JIO,4G,Upload,5.08,-97,Bihar
JIO,4G,Download,0.16,-98,Madhya Pradesh
JIO,4G,Download,37.02,-90,Madhya Pradesh
JIO,4G,Download,26.66,-94,Madhya Pradesh
JIO,4G,Download,0.34,-104,Madhya Pradesh
JIO,4G,Download,4.65,-100,Madhya Pradesh
JIO,4G,Download,4.26,-80,Madhya Pradesh
JIO,4G,Download,38.13,-86,Orissa
JIO,4G,Download,9.21,-98,Orissa
JIO,4G,Download,0.97,-91,Orissa
JIO,4G,Download,22.67,-72,Madhya Pradesh
JIO,4G,Download,26.58,-66,Kerala
JIO,4G,Upload,3.82,-66,Kerala
JIO,4G,Download,5.48,-78,Mumbai
JIO,4G,Upload,2.41,-81,Mumbai
JIO,4G,Download,0.71,-122,Rajasthan
JIO,4G,Upload,0.04,-123,Rajasthan
JIO,4G,Download,31.68,-93,Himachal Pradesh
JIO,4G,Download,30.35,-93,Himachal Pradesh
JIO,4G,Download,30.54,-93,Himachal Pradesh
JIO,4G,Download,30.7,-93,Himachal Pradesh
JIO,4G,Download,31.27,-93,Himachal Pradesh
JIO,4G,Upload,9.39,-93,Himachal Pradesh
JIO,4G,Upload,9.09,-93,Himachal Pradesh
JIO,4G,Upload,9.16,-93,Himachal Pradesh
JIO,4G,Upload,9.27,-93,Himachal Pradesh
JIO,4G,Upload,9.65,-93,Himachal Pradesh
AIRTEL,4G,Download,4.85,-100,Kolkata
AIRTEL,4G,Upload,0.88,-100,Kolkata
JIO,4G,Download,33.3,-67,UP West
JIO,4G,Upload,5.93,-67,UP West
AIRTEL,4G,Upload,3.66,-102,UP West
AIRTEL,3G,Upload,1.23,-81,UP West
AIRTEL,4G,Upload,1.8,-102,UP West
JIO,4G,Download,0.09,-106,Karnataka
JIO,4G,Download,0.32,-97,Karnataka
JIO,4G,Upload,0.31,-112,Karnataka
JIO,4G,Upload,0.24,-94,Karnataka
JIO,4G,Download,1.22,na,Delhi
JIO,4G,Upload,0.59,na,Delhi
JIO,4G,Download,0.54,-104,Gujarat
JIO,4G,Download,0.59,-104,Gujarat
JIO,4G,Download,1.07,-103,Gujarat
JIO,4G,Download,5.83,-105,Gujarat
JIO,4G,Download,2.59,-97,Gujarat
JIO,4G,Download,3.3,-100,Gujarat
JIO,4G,Upload,0.24,-104,Gujarat
JIO,4G,Upload,0.21,-104,Gujarat
JIO,4G,Upload,0.51,-102,Gujarat
JIO,4G,Upload,0.17,-107,Gujarat
JIO,4G,Upload,1.54,-96,Gujarat
JIO,4G,Upload,0.09,-99,Gujarat
AIRTEL,4G,Download,1.01,-96,Bihar
AIRTEL,4G,Upload,1.05,-96,Bihar
JIO,4G,Download,44.02,-71,Orissa
JIO,4G,Upload,6.38,-71,Orissa
VODAFONE,4G,Download,7.55,-97,Delhi
VODAFONE,4G,Download,2.89,-72,UP West
